timestamp,advancers,decliners,up5,up3_5,up0_3,down0_3,down3_5,down5,BM,delta_BM,regime
12/26/2025 12:29:39,4139,6612,299,156,3684,5706,440,466,-3091,0,Chop
12/26/2025 12:29:45,4142,6608,298,157,3687,5701,443,464,-3084,7,Reversal
12/26/2025 12:29:48,4142,6608,298,157,3687,5701,443,464,-3084,0,Chop
12/26/2025 12:29:51,4137,6607,298,158,3681,5702,440,465,-3086,-2,Trend Down
12/26/2025 12:29:54,4137,6607,298,158,3681,5702,440,465,-3086,0,Chop
12/26/2025 12:29:57,4137,6607,298,158,3681,5702,440,465,-3086,0,Chop
12/26/2025 12:30:00,4137,6607,298,158,3681,5702,440,465,-3086,0,Chop
12/26/2025 12:30:03,4142,6603,298,157,3687,5698,436,469,-3082,4,Reversal
12/26/2025 12:30:06,4142,6603,298,157,3687,5698,436,469,-3082,0,Chop
12/26/2025 12:30:09,4142,6603,298,157,3687,5698,436,469,-3082,0,Chop
12/26/2025 12:30:12,4142,6603,298,157,3687,5698,436,469,-3082,0,Chop
12/26/2025 12:30:15,4146,6595,298,154,3694,5696,429,470,-3068,14,Reversal
12/26/2025 12:30:18,4146,6595,298,154,3694,5696,429,470,-3068,0,Chop
12/26/2025 12:30:21,4146,6595,298,154,3694,5696,429,470,-3068,0,Chop
12/26/2025 12:30:24,4163,6577,298,153,3712,5684,424,469,-3027,41,Reversal
01/29/2026 14:46:36,4969,6520,374,333,4262,4570,723,1227,-3647,0,Chop
01/29/2026 14:46:39,4960,6526,375,332,4253,4574,725,1227,-3663,-16,Trend Down
01/29/2026 15:41:54,5104,6530,419,366,4319,4568,674,1288,-3472,0,Chop
01/29/2026 15:41:57,5104,6530,419,366,4319,4568,674,1288,-3472,0,Chop
01/29/2026 15:52:03,5144,6490,419,369,4356,4564,685,1241,-3306,0,Chop
01/29/2026 15:52:06,5144,6497,421,365,4358,4576,683,1238,-3305,1,Reversal
