week_end_et,train_start_et,train_end_et,roc_bull_threshold,roc_bear_threshold,accuracy,coverage,total_rows,signal_rows,scored_rows,correct_rows
2025-12-23,2025-11-21,2025-12-23,0.000500,-0.002500,0.518610,0.048095,8400,404,403,209
2025-12-30,2025-11-28,2025-12-30,0.000500,-0.004000,0.501845,0.033090,8220,272,271,136
2026-01-06,2025-12-04,2026-01-06,0.000500,-0.000500,0.484043,0.067381,8400,566,564,273
2026-01-13,2025-12-11,2026-01-13,0.000500,-0.000500,0.489834,0.064762,8400,544,541,265
2026-01-20,2025-12-17,2026-01-20,0.001500,-0.004000,0.600000,0.001190,8400,10,10,6
2026-01-27,2025-12-24,2026-01-27,0.001250,-0.004000,0.631579,0.002262,8400,19,19,12
2026-02-03,2026-01-02,2026-02-03,0.001000,-0.004000,0.562500,0.005594,8580,48,48,27
2026-02-10,2026-01-09,2026-02-10,0.004000,-0.004000,0.600000,0.000583,8580,5,5,3
2026-02-17,2026-01-15,2026-02-17,0.003000,-0.003000,0.555556,0.001049,8580,9,9,5
2026-02-24,2026-01-23,2026-02-24,0.000750,-0.003750,0.523256,0.030303,8580,260,258,135
2026-03-03,2026-01-30,2026-03-03,0.000500,-0.000500,0.512950,0.162471,8580,1394,1390,713
2026-03-10,2026-02-06,2026-03-10,0.000500,-0.000500,0.509220,0.166099,8507,1413,1410,718
